type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098821328	37.011979386	1520.4						
T	-1.098821375	37.012000752	1520.4						
T	-1.098808654	37.012022115	1520.4						
T	-1.098787445	37.012052018	1520.5						
T	-1.098770475	37.012073374	1520.5						
T	-1.098757751	37.012090456	1520.5						
T	-1.098749273	37.012103267	1520.5						
T	-1.098736541	37.012116077	1520.5						
T	-1.098719577	37.012137424	1520.6						
T	-1.098702638	37.012167305	1520.6						
T	-1.098694164	37.012180110	1520.6						
T	-1.098681481	37.012209983	1520.7						
T	-1.098673043	37.012235584	1520.7						
T	-1.098664583	37.012252649	1520.7						
T	-1.098660377	37.012269712	1520.7						
T	-1.098651954	37.012299568	1520.8						
T	-1.098639316	37.012342209	1520.8						
T	-1.098635206	37.012393364	1520.9						
T	-1.098631090	37.012440245	1520.9						
T	-1.098631137	37.012457288	1520.9						
T	-1.098626947	37.012474338	1521.0						
T	-1.098622793	37.012504164	1521.0						
T	-1.098614404	37.012533992	1521.1						
T	-1.098597570	37.012572344	1521.2						
T	-1.098576520	37.012614946	1521.3						
T	-1.098559685	37.012649015	1521.4						
T	-1.098551309	37.012678806	1521.5						
T	-1.098538690	37.012704344	1521.6						
T	-1.098534549	37.012734114	1521.7						
T	-1.098526205	37.012772385	1521.8						
T	-1.098513768	37.012853136	1522.1						
T	-1.098505525	37.012921098	1522.3						
T	-1.098501407	37.012972035	1522.5						
T	-1.098501474	37.013014466	1522.6						
T	-1.098501528	37.013048406	1522.7						
T	-1.098497342	37.013073860	1522.8						
T	-1.098493202	37.013103557	1522.9						
T	-1.098489051	37.013129007	1523.0						
T	-1.098484929	37.013162934	1523.1						
T	-1.098480779	37.013188373	1523.2						
T	-1.098472455	37.013230763	1523.3						
T	-1.098464105	37.013264665	1523.5						
T	-1.098459982	37.013311274	1523.6						
T	-1.098451579	37.013345166	1523.7						
T	-1.098447363	37.013353638	1523.7						
T	-1.098438983	37.013400232	1523.6						
T	-1.098430605	37.013446818	1523.5						
T	-1.098430641	37.013467992	1523.5						
T	-1.098426463	37.013493395	1523.5						
T	-1.098426565	37.013523018	1523.4						
T	-1.098426667	37.013552636	1523.3						
T	-1.098426739	37.013573789	1523.3						
T	-1.098426812	37.013594938	1523.3						
T	-1.098426906	37.013628780	1523.2						
T	-1.098426775	37.013654243	1523.1						
T	-1.098435178	37.013666977	1523.1						
T	-1.098439304	37.013688203	1523.1						
T	-1.098456095	37.013717927	1523.0						
T	-1.098472933	37.013739163	1522.9						
T	-1.098485683	37.013730668	1522.9						
T	-1.098490083	37.013696695	1523.0						
T	-1.098490186	37.013675467	1523.0						
T	-1.098490310	37.013649999	1523.1						
T	-1.098490392	37.013633024	1523.1						
T	-1.098490393	37.013616084	1523.1						
T	-1.098490283	37.013582249	1523.2						
T	-1.098490215	37.013561098	1523.2						
T	-1.098490160	37.013544174	1523.3						
